"Date","Death_cause","Parish","count"
"1630-01-01","Not_plague","S. Bartolomeo",1
"1630-01-01","Not_plague","S. Donnino alla Mazza",1
"1630-01-01","Not_plague","S. Martino in Nosiggia",1
"1630-01-01","Not_plague","S. Nicolao",1
"1630-01-01","Not_plague","S. Tommaso in Terramara",1
"1630-01-02","Not_plague","S. Babila",1
"1630-01-02","Not_plague","S. Calimero",3
"1630-01-02","Not_plague","S. Maria Beltrade",1
"1630-01-02","Not_plague","S. Michele in Metropolitana",1
"1630-01-02","Not_plague","S. Nazaro in Brolo",1
"1630-01-02","Not_plague","S. Sebastiano",1
"1630-01-02","Not_plague","S. Simpliciano",1
"1630-01-02","Not_plague","S. Stefano in Brolo",3
"1630-01-02","Not_plague","S. Stefano in Burgundia",1
"1630-01-03","Not_plague","S. Carpoforo",1
"1630-01-03","Not_plague","S. Gottardo",2
"1630-01-03","Not_plague","S. Marcellino",1
"1630-01-03","Not_plague","S. Maria Beltrade",1
"1630-01-03","Not_plague","S. Mattia alla Moneta",1
"1630-01-03","Not_plague","S. Maurilio",1
"1630-01-03","Not_plague","S. Nazaro in Brolo",1
"1630-01-03","Not_plague","S. Pietro in Caminadella",1
"1630-01-03","Not_plague","S. Stefano in Brolo",2
"1630-01-03","Not_plague","S. Tecla",1
"1630-01-03","Not_plague","S. Vito in Pasquirolo",1
"1630-01-04","Not_plague","S. Babila",1
"1630-01-04","Not_plague","S. Calimero",2
"1630-01-04","Not_plague","S. Gottardo",1
"1630-01-04","Not_plague","S. Maria alla Porta",1
"1630-01-04","Not_plague","S. Maria Beltrade",1
"1630-01-04","Not_plague","S. Nazaro in Brolo",1
"1630-01-04","Not_plague","S. Pietro in Ronchetto",1
"1630-01-04","Not_plague","S. Protaso in Campo foris",1
"1630-01-04","Not_plague","S. Protaso in Campo intus",1
"1630-01-04","Not_plague","S. Rocco",1
"1630-01-04","Not_plague","S. Sebastiano",1
"1630-01-04","Not_plague","S. Simpliciano",1
"1630-01-04","Not_plague","S. Stefano in Brolo",1
"1630-01-04","Not_plague","S. Tecla",3
"1630-01-04","Not_plague","S. Vincenzo in Prato",1
"1630-01-04","Not_plague","S. Vittore al Teatro",1
"1630-01-05","Not_plague","S. Babila",1
"1630-01-05","Not_plague","S. Bartolomeo",1
"1630-01-05","Not_plague","S. Calimero",1
"1630-01-05","Not_plague","S. Giovanni in Conca",1
"1630-01-05","Not_plague","S. Lorenzo",1
"1630-01-05","Not_plague","S. Protaso in Campo intus",1
"1630-01-05","Not_plague","S. Raffaele",1
"1630-01-05","Not_plague","S. Satiro",1
"1630-01-05","Not_plague","S. Stefano in Brolo",2
"1630-01-06","Not_plague","S. Babila",2
"1630-01-06","Not_plague","S. Bartolomeo",1
"1630-01-06","Not_plague","S. Lorenzo",2
"1630-01-06","Not_plague","S. Maria Segreta",1
"1630-01-06","Not_plague","S. Martino in Nosiggia",1
"1630-01-06","Not_plague","S. Michele in Metropolitana",1
"1630-01-06","Not_plague","S. Pietro in Ronchetto",1
