"Date","Death_cause","Parish"
1630-01-01,"Not_plague","S. Bartolomeo"
1630-01-01,"Not_plague","S. Donnino alla Mazza"
1630-01-01,"Not_plague","S. Martino in Nosiggia"
1630-01-01,"Not_plague","S. Nicolao"
1630-01-01,"Not_plague","S. Tommaso in Terramara"
1630-01-02,"Not_plague","S. Babila"
1630-01-02,"Not_plague","S. Calimero"
1630-01-02,"Not_plague","S. Calimero"
1630-01-02,"Not_plague","S. Calimero"
1630-01-02,"Not_plague","S. Maria Beltrade"
1630-01-02,"Not_plague","S. Michele in Metropolitana"
1630-01-02,"Not_plague","S. Nazaro in Brolo"
1630-01-02,"Not_plague","S. Sebastiano"
1630-01-02,"Not_plague","S. Simpliciano"
1630-01-02,"Not_plague","S. Stefano in Brolo"
1630-01-02,"Not_plague","S. Stefano in Brolo"
1630-01-02,"Not_plague","S. Stefano in Brolo"
1630-01-02,"Not_plague","S. Stefano in Burgundia"
1630-01-03,"Not_plague","S. Carpoforo"
1630-01-03,"Not_plague","S. Gottardo"
1630-01-03,"Not_plague","S. Gottardo"
1630-01-03,"Not_plague","S. Marcellino"
1630-01-03,"Not_plague","S. Maria Beltrade"
1630-01-03,"Not_plague","S. Mattia alla Moneta"
1630-01-03,"Not_plague","S. Maurilio"
1630-01-03,"Not_plague","S. Nazaro in Brolo"
1630-01-03,"Not_plague","S. Pietro in Caminadella"
1630-01-03,"Not_plague","S. Stefano in Brolo"
1630-01-03,"Not_plague","S. Stefano in Brolo"
1630-01-03,"Not_plague","S. Tecla"
1630-01-03,"Not_plague","S. Vito in Pasquirolo"
1630-01-04,"Not_plague","S. Babila"
1630-01-04,"Not_plague","S. Calimero"
1630-01-04,"Not_plague","S. Calimero"
1630-01-04,"Not_plague","S. Gottardo"
1630-01-04,"Not_plague","S. Maria alla Porta"
1630-01-04,"Not_plague","S. Maria Beltrade"
1630-01-04,"Not_plague","S. Nazaro in Brolo"
1630-01-04,"Not_plague","S. Pietro in Ronchetto"
1630-01-04,"Not_plague","S. Protaso in Campo foris"
1630-01-04,"Not_plague","S. Protaso in Campo intus"
1630-01-04,"Not_plague","S. Rocco"
1630-01-04,"Not_plague","S. Sebastiano"
1630-01-04,"Not_plague","S. Simpliciano"
1630-01-04,"Not_plague","S. Stefano in Brolo"
1630-01-04,"Not_plague","S. Tecla"
1630-01-04,"Not_plague","S. Tecla"
1630-01-04,"Not_plague","S. Tecla"
1630-01-04,"Not_plague","S. Vincenzo in Prato"
1630-01-04,"Not_plague","S. Vittore al Teatro"
1630-01-05,"Not_plague","S. Babila"
1630-01-05,"Not_plague","S. Bartolomeo"
1630-01-05,"Not_plague","S. Calimero"
1630-01-05,"Not_plague","S. Giovanni in Conca"
1630-01-05,"Not_plague","S. Lorenzo"
1630-01-05,"Not_plague","S. Protaso in Campo intus"
1630-01-05,"Not_plague","S. Raffaele"
1630-01-05,"Not_plague","S. Satiro"
1630-01-05,"Not_plague","S. Stefano in Brolo"
1630-01-05,"Not_plague","S. Stefano in Brolo"
1630-01-06,"Not_plague","S. Babila"
1630-01-06,"Not_plague","S. Babila"
1630-01-06,"Not_plague","S. Bartolomeo"
1630-01-06,"Not_plague","S. Lorenzo"
1630-01-06,"Not_plague","S. Lorenzo"
1630-01-06,"Not_plague","S. Maria Segreta"
1630-01-06,"Not_plague","S. Martino in Nosiggia"
1630-01-06,"Not_plague","S. Michele in Metropolitana"
1630-01-06,"Not_plague","S. Pietro in Ronchetto"
1630-01-06,"Not_plague","S. Stefano in Brolo"
1630-01-06,"Not_plague","S. Stefano in Brolo"
1630-01-06,"Not_plague","S. Stefano in Burgundia"
1630-01-07,"Not_plague","S. Eusebio"
1630-01-07,"Not_plague","S. Giorgio al Palazzo"
1630-01-07,"Not_plague","S. Giorgio al Pozzo Bianco"
1630-01-07,"Not_plague","S. Maria Beltrade"
1630-01-07,"Not_plague","S. Michele alla Chiusa"
1630-01-07,"Not_plague","S. Michele alla Chiusa"
1630-01-07,"Not_plague","S. Michele in Metropolitana"
1630-01-07,"Not_plague","S. Protaso in Campo foris"
1630-01-07,"Not_plague","S. Protaso in Campo foris"
1630-01-07,"Not_plague","S. Protaso in Campo foris"
1630-01-07,"Not_plague","S. Protaso in Campo intus"
1630-01-07,"Not_plague","S. Salvatore"
1630-01-07,"Not_plague","S. Stefano in Brolo"
1630-01-07,"Not_plague","S. Stefano in Burgundia"
1630-01-07,"Not_plague","S. Stefano in Nosiggia"
1630-01-07,"Not_plague","S. Vito in Pasquirolo"
1630-01-08,"Not_plague","S. Calimero"
1630-01-08,"Not_plague","S. Eufemia"
1630-01-08,"Not_plague","S. Eusebio"
1630-01-08,"Not_plague","S. Lorenzo"
1630-01-08,"Not_plague","S. Lorenzo"
1630-01-08,"Not_plague","S. Protaso in Campo intus"
1630-01-08,"Not_plague","S. Raffaele"
1630-01-08,"Not_plague","S. Vito in Pasquirolo"
1630-01-09,"Not_plague","S. Ambrogio in Solariolo"
1630-01-09,"Not_plague","S. Gottardo"
1630-01-09,"Not_plague","S. Pietro alla Vigna"
1630-01-09,"Not_plague","S. Satiro"
1630-01-09,"Not_plague","S. Simpliciano"
1630-01-10,"Not_plague","S. Babila"
1630-01-10,"Not_plague","S. Bartolomeo"
