"Parish","Latitude","Longitude"
"S. Alessandro in Zebedia",9.186696544,45.46094179
"S. Ambrogio in Solariolo",9.184350438,45.46190374
"S. Andrea",9.195349054,45.46832002
"S. Apolinaro",9.191386672,45.4570198
"S. Babila",9.198202585,45.46693118
"S. Babila foris in Monbreto",NA,NA
"S. Bartolomeo",9.195233542,45.47264593
"S. Calimero",9.19298702,45.45657326
"S. Carpoforo",9.186431835,45.47181918
"S. Catterina",NA,NA
"S. Cosma e Damiano",9.188667032,45.46715179
"S. Cristoforo",NA,NA
"S. Donnino alla Mazza",9.193719005,45.4689433
"S. Eufemia",9.18852916,45.45750421
"S. Eusebio",9.187523669,45.47159456
"S. Fermo",9.185505725,45.45917852
"S. Fidelis",9.191414517,45.46663875
"S. Giorgio",NA,NA
"S. Giorgio al Palazzo",9.18391408,45.46107058
"S. Giorgio al Pozzo Bianco",9.195370899,45.46579524
"S. Giorgio in Campo Lodigiano",NA,NA
"S. Giovanni",NA,NA
"S. Giovanni alle Quattro Facce",9.187675433,45.46844829
"S. Giovanni in Conca",9.188309312,45.46116858
"S. Giovanni Laterano",9.18966599,45.46175306
"S. Giovanni sul Muro",9.181306158,45.46659527
"S. Gottardo",9.192115857,45.46282381
"S. Lazzarro",9.19466499,45.45691563
"S. Lorenzo",9.181919325,45.45816798
"S. Lorenzo Minore",9.181717222,45.46224827
"S. Marcellino",9.185264681,45.4682727
"S. Maria",NA,NA
"S. Maria al Circo",9.180055458,45.46138393
"S. Maria al Corpo",NA,NA
"S. Maria alla Porta",9.18152739,45.46540825
"S. Maria Beltrade",9.186777095,45.46282768
"S. Maria del Paradiso",9.195574046,45.45515488
"S. Maria della Passerella",9.197194089,45.46570811
"S. Maria di Calvairate",9.217302733,45.45279251
"S. Maria Podone",9.182922242,45.46360814
"S. Maria Segreta",9.185110654,45.46518529
"S. Marie ad Boschettum",NA,NA
"S. Marie Scalensis",9.188887404,45.46731231
"S. Martino al Corpo",9.17041195,45.46316883
"S. Martino in Nosiggia",9.192368749,45.46747352
"S. Matteo la Bachetta",9.182004829,45.4649064
"S. Mattia alla Moneta",9.185474274,45.46378054
"S. Maurilio",9.183379095,45.46244476
"S. Michele al Gallo",9.187019681,45.46447996
"S. Michele alla Chiusa",9.184689706,45.45861215
"S. Michele in Metropolitana",9.193085096,45.46386529
"S. Nazaro",NA,NA
"S. Nazaro al Castello",9.184789238,45.4660541
"S. Nazaro alla Barona",9.159780754,45.44144751
"S. Nazaro in Brolo",9.192539342,45.45862902
"S. Nicolao",9.177045685,45.46659869
"S. Paolo in Compito",9.194071236,45.46516287
"S. Pietro",NA,NA
"S. Pietro all'Orto",9.195342898,45.46690531
"S. Pietro alla Vigna",9.179475504,45.46395405
"S. Pietro con la Rete",9.190936106,45.46850351
"S. Pietro in Caminadella",9.177079974,45.46012311
"S. Pietro in Campo Lodigiano",9.184765292,45.45702336
"S. Pietro in Prato",NA,NA
"S. Pietro in Ronchetto",9.181862035,45.40218254
"S. Pietro in Sala",9.156589277,45.46838118
"S. Pietro Lugina",NA,NA
"S. Pietro sul Dosso",9.175578006,45.46434936
"S. Polinarii",NA,NA
"S. Primo",9.199816314,45.47059036
"S. Protaso",NA,NA
"S. Protaso in Campo intus",9.184236783,45.4699542
"S. Protaso ad Monachos",9.188023039,45.46613163
"S. Protaso in Campo foris",9.181976518,45.4743284
"S. Raffaele",9.191514751,45.46540093
"S. Rocco",9.201736077,45.45261375
"S. Rochi ad Monetam",NA,NA
"S. Salvatore",9.189741216,45.46548224
"S. Satiro",9.187888301,45.46269999
"S. Satiro in Brolo",NA,NA
"S. Sebastiano",9.186095965,45.4621784
"S. Silvestro",9.188522303,45.46908621
"S. Simpliciano",9.184663977,45.47387356
"S. Sisto",9.18161625,45.46094455
"S. Stefano",NA,NA
"S. Stefano in Brolo",9.196011592,45.46220488
"S. Stefano in Burgundia",9.19950121,45.46578238
"S. Stefano in Nosiggia",9.192563487,45.46723379
"S. Tecla",9.190906545,45.4641917
"S. Teresia",NA,NA
"S. Ticinese foris",NA,NA
"S. Tommaso in Terramara",9.185513031,45.46753454
"S. Trinità",9.178473055,45.47878102
"S. Vincenzo",NA,NA
"S. Vincenzo al Monastero Novo",9.183425352,45.46596786
"S. Vincenzo in Pasquirolo",NA,NA
"S. Vincenzo in Prato",9.173966699,45.45766392
"S. Vito al Carobbio",9.182249146,45.4596996
"S. Vito in Pasquirolo",9.196174021,45.46472101
"S. Vittore al Corpo",9.170025482,45.46260069
"S. Vittore al Teatro",9.183084609,45.46496774
"S. Vittore e 40 Martiri",9.194547627,45.46761657
